eps,min_sample,n_cluster,silhouette
0.6,4.0,1.0,0.03345892640383314
0.6,4.0,1.0,0.03345892640383314
0.6,4.0,1.0,0.03345892640383314
0.61,4.0,1.0,0.03579844199682029
0.61,4.0,1.0,0.03579844199682029
0.61,4.0,1.0,0.03579844199682029
0.61,4.0,1.0,0.03579844199682029
0.61,4.0,1.0,0.03579844199682029
0.61,4.0,1.0,0.03579844199682029
0.61,4.0,1.0,0.03579844199682029
0.61,4.0,1.0,0.03579844199682029
0.62,4.0,1.0,0.04586043342597106
0.62,4.0,1.0,0.04586043342597106
0.62,4.0,1.0,0.04586043342597106
0.62,4.0,1.0,0.04586043342597106
0.62,4.0,1.0,0.04586043342597106
0.62,4.0,1.0,0.04586043342597106
0.62,4.0,1.0,0.04586043342597106
0.62,4.0,1.0,0.04586043342597106
0.63,4.0,1.0,0.054732563480767424
0.63,4.0,1.0,0.054732563480767424
0.63,4.0,1.0,0.054732563480767424
0.63,4.0,1.0,0.054732563480767424
0.63,4.0,1.0,0.054732563480767424
0.63,4.0,1.0,0.054732563480767424
0.63,4.0,1.0,0.054732563480767424
0.63,4.0,1.0,0.054732563480767424
0.64,4.0,1.0,0.06387355140262954
0.64,4.0,1.0,0.06387355140262954
0.64,4.0,1.0,0.06387355140262954
0.64,4.0,1.0,0.06387355140262954
0.64,4.0,1.0,0.06387355140262954
0.64,4.0,1.0,0.06387355140262954
0.64,4.0,1.0,0.06387355140262954
0.64,4.0,1.0,0.06387355140262954
0.65,4.0,1.0,0.07185622240130433
0.65,4.0,1.0,0.07185622240130433
0.65,4.0,1.0,0.07185622240130433
0.65,4.0,1.0,0.07185622240130433
0.65,4.0,1.0,0.07185622240130433
0.65,4.0,1.0,0.07185622240130433
0.65,4.0,1.0,0.07185622240130433
0.65,4.0,1.0,0.07185622240130433
0.66,4.0,1.0,0.08752586810215643
0.66,4.0,1.0,0.08752586810215643
0.66,4.0,1.0,0.08752586810215643
0.66,4.0,1.0,0.08752586810215643
0.66,4.0,1.0,0.08752586810215643
0.66,4.0,1.0,0.08752586810215643
0.66,4.0,1.0,0.08752586810215643
0.66,4.0,1.0,0.08752586810215643
0.67,4.0,1.0,0.10242768813345487
0.67,4.0,1.0,0.10242768813345487
0.67,4.0,1.0,0.10242768813345487
0.67,4.0,1.0,0.10242768813345487
0.67,4.0,1.0,0.10242768813345487
0.67,4.0,1.0,0.10242768813345487
0.67,4.0,1.0,0.10242768813345487
0.67,4.0,1.0,0.10242768813345487
0.68,4.0,1.0,0.1125247768719273
0.68,4.0,1.0,0.1125247768719273
0.68,4.0,1.0,0.1125247768719273
0.68,4.0,1.0,0.1125247768719273
0.68,4.0,1.0,0.1125247768719273
0.68,4.0,1.0,0.1125247768719273
0.68,4.0,1.0,0.1125247768719273
0.68,4.0,1.0,0.1125247768719273
0.68,4.0,1.0,0.1125247768719273
0.6900000000000001,5.0,1.0,0.11505754512945131
0.6900000000000001,5.0,1.0,0.11505754512945131
0.6900000000000001,5.0,1.0,0.11505754512945131
0.6900000000000001,5.0,1.0,0.11505754512945131
0.6900000000000001,5.0,1.0,0.11505754512945131
0.6900000000000001,5.0,1.0,0.11505754512945131
0.6900000000000001,5.0,1.0,0.11505754512945131
0.6900000000000001,5.0,1.0,0.11505754512945131
