eps,min_sample,n_cluster,silhouette
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.5,7.0,1.0,0.014757096746907228
0.51,7.0,1.0,0.026653343975984536
0.51,7.0,1.0,0.026653343975984536
0.51,7.0,1.0,0.026653343975984536
0.51,7.0,1.0,0.026653343975984536
0.51,7.0,1.0,0.026653343975984536
0.51,7.0,1.0,0.026653343975984536
0.51,7.0,1.0,0.026653343975984536
0.51,7.0,1.0,0.026653343975984536
0.51,7.0,1.0,0.026653343975984536
0.51,7.0,1.0,0.026653343975984536
0.51,7.0,1.0,0.026653343975984536
0.51,7.0,1.0,0.026653343975984536
0.51,7.0,1.0,0.026653343975984536
0.51,7.0,1.0,0.026653343975984536
0.51,7.0,1.0,0.026653343975984536
0.51,7.0,1.0,0.026653343975984536
0.51,7.0,1.0,0.026653343975984536
0.51,7.0,1.0,0.026653343975984536
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
0.52,4.0,1.0,0.07917964497221702
