t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y
10872202779,162.925750572,-130.868561884,10872205106,801.944043044,628.983060961,783.468031133,661.083382439,792.7060370884999,645.0332217,802.925750572,642.868561884,13.92016111807495,10.44644895664735,26.65300233777974,1.2755939149909806e-08,2.190725311866208e-08,3.7268854659899666e-08,-1,-1,-1,1,-1,1
10872220789,167.064095866,-132.878708143,10872221104,806.082613484,626.98404966,790.21422413,666.459200505,798.1484188070001,646.7216250824999,807.064095866,644.878708143,17.921554337985928,9.10415510996341,27.379478229250267,1.7957867235816975e-08,2.2264413666000777e-08,3.370434120605618e-08,-1,-1,-1,1,-1,1
10872235798,171.245496512,-134.834970752,10872237103,808.641277871,625.144804183,789.795583613,667.323373257,799.218430742,646.23408872,811.245496512,646.834970752,21.84594425794171,12.042066693565808,29.662660038870055,1.2310619945600427e-08,4.593728333097175e-09,3.75139333124329e-09,-1,-1,-1,-1,-1,1
10872253890,175.475291431,-136.737370195,10872257103,812.333582772,627.596088095,793.065964104,665.016581602,802.699773438,646.3063348485,815.475291431,648.737370195,21.37344478856453,13.004760391695003,27.698207077036987,1.1079798142108192e-08,8.705230636690317e-09,1.0005209985143836e-08,-1,-1,-1,-1,-1,1
10872268820,179.743751904,-138.579154061,10872269103,818.114648547,625.804464506,793.997833911,655.670417356,806.0562412290001,640.737440931,819.743751904,650.579154061,24.82819406026977,16.8584479063599,26.244489997736498,4.203003396144511e-08,4.5154086916018907e-08,6.522573555303097e-08,-1,-1,-1,-1,-1,1
10872286838,184.065971442,-140.364286312,10872289103,821.175833046,631.381339464,799.890040752,653.273285956,810.532936899,642.32731271,824.065971442,652.364286312,21.18105187128406,16.84885346334508,24.19301355930002,1.5904477520906814e-08,1.1876577893972784e-08,1.590289682848554e-08,-1,-1,-1,-1,-1,1
10872301957,188.640269916,-142.166014177,10872305102,828.897488842,627.315470235,803.336867953,650.201583472,816.1171783975001,638.7585268535,828.640269916,654.166014177,26.85177594791753,19.854936081602855,25.612084290738533,3.409292617982887e-08,2.589079688956538e-08,1.803710830908243e-08,1,-1,-1,-1,-1,-1
10872319859,192.855825104,-143.746744953,10872321102,826.691699289,628.346416694,807.924700205,648.419484272,817.308199747,638.3829504830001,832.855825104,655.746744953,28.085128373644658,23.307295266461722,25.985567875589442,9.511023422872383e-09,4.8782626693507755e-09,1.9225768190722056e-08,-1,-1,-1,-1,-1,-1
10872339857,197.315899766,-145.335921052,10872341102,826.797757735,634.861324035,812.450862191,649.599916096,819.6243099630001,642.2306200655,837.315899766,657.335921052,24.814085170741887,23.26289895198723,26.040657946477022,1.628942641251219e-08,1.122745734481863e-08,1.1693898412907432e-08,-1,-1,-1,-1,-1,-1
10872351872,201.799575766,-146.84719724,10872353102,828.046895412,638.810024057,816.50439385,653.099375643,822.275644631,645.95469985,841.799575766,658.84719724,24.302767868801126,23.396588980348813,25.940001566585718,2.8760881595973712e-08,3.174632537050951e-08,3.7188350073023916e-08,-1,-1,-1,-1,-1,-1
