t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y
8394887579,54.2023142899,52.6937190612,8394888572,0.0,0.0,0.0,0.0,0,0,694.2023142899,459.3062809388,832.393604537712,832.393604537712,832.393604537712,0,0,0.0,0,0,0,0,0,0
8394902594,48.0185201182,46.9604719686,8394904573,0.0,0.0,0.0,0.0,0,0,688.0185201182001,465.0395280314,830.4403931994791,830.4403931994791,830.4403931994791,0,0,0.0,0,0,0,0,0,0
8394920602,41.9035868217,41.1950541382,8394924574,0.0,0.0,0.0,0.0,0,0,681.9035868217,470.8049458618,828.6433483521316,828.6433483521316,828.6433483521316,0,0,0.0,0,0,0,0,0,0
8394935616,35.8266499627,35.3808638945,8394936575,0.0,0.0,0.0,0.0,0,0,675.8266499627,476.6191361055,826.9869779517444,826.9869779517444,826.9869779517444,0,0,0.0,0,0,0,0,0,0
8394953627,29.8278972334,29.5691792197,8394956576,0.0,0.0,0.0,0.0,0,0,669.8278972334,482.4308207803,825.4749594935464,825.4749594935464,825.4749594935464,0,0,0.0,0,0,0,0,0,0
8394968638,23.8520981612,23.7191885291,8394972577,0.0,0.0,0.0,0.0,0,0,663.8520981612,488.2808114709,824.0860143721092,824.0860143721092,824.0860143721092,0,0,0.0,0,0,0,0,0,0
8394986646,17.9136001249,17.8570935174,8394988577,0.0,0.0,0.0,0.0,0,0,657.9136001249,494.1429064826,822.8168187734001,822.8168187734001,822.8168187734001,0,0,0.0,0,0,0,0,0,0
8395004657,12.0010738367,11.9840388927,8395008572,0.0,0.0,0.0,0.0,0,0,652.0010738367,500.0159611073,821.6576912840693,821.6576912840693,821.6576912840693,0,0,0.0,0,0,0,0,0,0
8395019684,6.10394251496,6.10169761654,8395020569,0.0,0.0,0.0,0.0,0,0,646.10394251496,505.89830238346,820.5994131656696,820.5994131656696,820.5994131656696,0,0,0.0,0,0,0,0,0,0
8395037681,0.211994007055,0.211993912958,8395040564,0.0,0.0,0.0,0.0,0,0,640.211994007055,511.788006087042,819.6330645142615,819.6330645142615,819.6330645142615,0,0,0.0,0,0,0,0,0,0
8395052690,-5.69701817568,-5.69519285545,8395056560,0.0,0.0,0.0,0.0,0,0,634.30298182432,517.69519285545,818.7481819563725,818.7481819563725,818.7481819563725,0,0,0.0,0,0,0,0,0,0
8395070721,-11.5725143336,-11.557237678,8395072556,0.0,0.0,0.0,0.0,0,0,628.4274856664,523.557237678,817.9445493833987,817.9445493833987,817.9445493833987,0,0,0.0,0,0,0,0,0,0
8395085712,-17.4875684819,-17.4349867377,8395088552,0.0,0.0,0.0,0.0,0,0,622.5124315181,529.4349867377,817.204461916677,817.204461916677,817.204461916677,0,0,0.0,0,0,0,0,0,0
8395102545,-23.4254103954,-23.2994697601,8395104547,0.0,0.0,0.0,0.0,0,0,616.5745896046,535.2994697601,816.52296163153,816.52296163153,816.52296163153,0,0,0.0,0,0,0,0,0,0
8395120549,-29.4072484625,-29.159233451,8395124541,0.0,0.0,0.0,0.0,0,0,610.5927515375,541.159233451,815.8902035074383,815.8902035074383,815.8902035074383,0,0,0.0,0,0,0,0,0,0
8395135560,-35.3995204997,-34.9693027617,8395136537,0.0,0.0,0.0,0.0,0,0,604.6004795003,546.9693027617,815.3018814988794,815.3018814988794,815.3018814988794,0,0,0.0,0,0,0,0,0,0
8395153572,-41.4566831413,-40.7702198539,8395156531,0.0,0.0,0.0,0.0,0,0,598.5433168587,552.7702198539,814.7447564197901,814.7447564197901,814.7447564197901,0,0,0.0,0,0,0,0,0,0
