t_tracker,pix_x,pix_y,zeitstempel,blick_l_x,blick_l_y,blick_r_x,blick_r_y,blick_m_x,blick_m_y,pix_x_translation,pix_y_translation,delta_l_t,delta_m_t,delta_r_t,geschwindigkeit_l,geschwindigkeit_m,geschwindigkeit_r,sacc_l,sacc_m,sacc_r,richtung_delta_l_x,richtung_delta_l_y,richtung_delta_m_x,richtung_delta_m_y,richtung_delta_r_x,richtung_delta_r_y,tendenz_l,tendenz_m,tendenz_r
1280204234,362.10532899,-139.048414667,1280205844,989.101555482,661.9517143869999,961.466893603,672.056525923,975.2842245424999,667.004120155,1002.10532899,651.048414667,16.9699755518832,31.208271041560447,45.74738428858905,0.0004801406719559607,0.000656869773984667,0.0008342467107089704,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1280222248,371.33879016,-133.988291674,1280225847,998.767785819,658.567881706,975.004029141,671.617270303,986.88590748,665.0925760045,1011.3387901599999,645.988291674,17.78415686825303,31.0309063860923,44.46413615346162,0.0005119933439987084,0.0005878171089662997,0.0006771114427456866,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1280237251,381.189958165,-127.725388619,1280237849,1013.50102464,654.13984354,982.84338911,668.057375629,998.172206875,661.0986095845001,1021.189958165,639.725388619,16.3369583895354,31.410690041582786,47.67767660262711,0.001281809094614894,0.0009975127272189017,0.000717362605495544,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1280255276,389.782787544,-121.423808853,1280257851,1026.9102479,645.180010959,992.856367362,672.834425373,1009.883307631,659.007218166,1029.782787544,633.423808853,12.102056517942371,32.411419791246274,54.0070106740238,0.0008062782691849465,0.0005947594019179304,0.0005546515244638652,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1280270272,398.792320252,-113.824819232,1280273854,1036.28969458,642.141461953,1005.55288113,672.249067994,1020.921287855,657.1952649735,1038.792320252,625.824819232,16.507451800290546,36.10372092949735,57.09703307757082,0.0006160939133734004,0.0006989760225960184,0.0007942260952009773,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1280288281,406.567935413,-106.282994241,1280289856,1043.54305715,643.864975391,1013.27858929,668.758073919,1028.41082322,656.3115246550001,1046.567935413,618.282994241,25.760195031577826,42.140833506679904,60.464156603704865,0.0004658991403811448,0.00047128448591251935,0.0005297981675399314,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1280303295,414.540050462,-97.3689675353,1280305857,1050.82430245,641.538764775,1022.41071707,662.758741139,1036.61750976,652.1487529569999,1054.540050462,609.3689675353,32.38367857010826,46.38240513321328,62.31181260137292,0.00047770809503468534,0.0005750943821017814,0.000682861710256001,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1280321305,421.237071841,-88.6935086854,1280321857,1055.07340556,612.049360146,1031.79835264,645.861404421,1043.4358791,628.9553822835001,1061.237071841,600.6935086854,12.920764080299039,33.40083774813461,53.91453415710227,0.0018621223008517158,0.001510927131111028,0.0012081230434486901,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1280336316,427.915296762,-78.5840366348,1280337857,1067.27647401,588.603879181,1041.93444209,617.030945384,1054.60545805,602.8174122825001,1067.915296762,590.5840366348,2.0806532748904987,18.07781198810293,37.073491768055796,0.0016519465994645982,0.0017765320959287699,0.0019100225759694609,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1
1280354339,433.299477668,-68.9391984103,1280357857,1087.46126195,580.413456285,1054.45993127,596.660178312,1070.96059661,588.5368172985,1073.299477668,580.9391984103,14.17153974810853,7.9494765471572535,24.537272007133343,0.0010891610204626521,0.0010856172788025389,0.0011956755729502658,1,1,1,1,1,-1,-1,-1,-1,1,-1,-1
1280369339,438.419563892,-57.8808303997,1280369857,1091.95389126,576.014684564,1058.98285775,589.990165551,1075.4683745050002,583.0024250575,1078.419563892,569.8808303997,14.859413992923677,13.449377872658097,27.967318532132683,0.0005239600200141192,0.0005948246650384817,0.0006715753358883314,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
1280387367,442.316039788,-47.4403390132,1280389854,1094.83337002,568.173885118,1061.31621096,575.438063464,1078.07479049,571.805974291,1082.3160397880001,559.4403390132,15.26297427442007,13.072762960880146,26.39924238323954,0.00041770345178198835,0.0005748773111497582,0.0007370098192719005,0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
1280402361,445.707403842,-35.6472867428,1280405850,1092.38856084,559.040136036,1065.21936624,568.605303686,1078.80396354,563.822719861,1085.707403842,547.6472867428,13.207379522429592,17.586987364657965,29.308670371963732,0.0005911032528650923,0.0005011556516053144,0.0004919357473265157,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
1280420369,447.955910462,-24.6852044327,1280421846,1094.32181401,550.0799605000001,1070.63893018,556.343968433,1082.480372095,553.2119644665001,1087.955910462,536.6852044327,14.830516447006016,17.410207282605974,26.198183297829463,0.0005730409573105849,0.0007020260456699507,0.000838063954714762,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
1280435394,449.481822911,-12.4581109697,1280437842,1093.26410387,535.925591094,1080.31028283,548.0751290219999,1086.78719335,542.000360058,1089.481822911,524.4581109697,12.075129384566818,17.748000776058593,25.335364397222577,0.0008873364600005474,0.0007508353009478396,0.000795469967312045,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1
1280453399,449.994848584,-1.24314129845,1280453838,1097.40370973,518.998394586,1083.89126545,538.8593867019999,1090.6474875899999,528.9288906439999,1089.994848584,513.24314129845,9.381586426855657,15.699320692423955,26.33335822960187,0.0010893988602022659,0.0008520611537601003,0.0006180938378133343,1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1
1280471426,449.589462209,11.0907750312,1280473833,1104.28817499,499.405914224,1080.72730453,524.607722995,1092.50773976,512.0068186095,1089.589462209,500.9092249688,14.775388340539989,11.474882503920277,25.301317108507664,0.0010386010544408484,0.0008514135642648223,0.0007301150035742593,1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1
1280486424,448.34642369,22.2158003203,1280489829,1106.04857284,493.05240760099997,1083.13440236,502.712069924,1094.5914876,497.8822387625,1088.34642369,489.7841996797,18.00131293949673,10.22639038109441,13.938973972205828,0.00041215794613007936,0.0008925641652995128,0.0013770672545763635,0,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1
1280504434,446.031277292,34.2934686483,1280505825,1102.30088302,486.34776363699996,1086.41353571,489.72650960699997,1094.357209365,488.03713662199993,1086.031277292,477.7065313517,18.422023937479846,13.26810273305723,12.026054995550956,0.00048018119729152886,0.0006156469891361101,0.0008372835883270792,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1280519453,443.077835034,45.0813893494,1280521821,1097.66624134,478.60443302,1079.6598156999999,479.162076681,1088.66302852,478.88325485049995,1083.0778350340001,466.9186106506,18.691710542326085,13.204056085394894,12.71162132086842,0.0005641635378945177,0.0006739441319449513,0.0007838671575575207,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1
1280537446,439.142463749,56.1096991382,1280537818,1096.42758525,468.850456217,1076.12981918,471.53254929400003,1086.278702215,470.1915027555,1079.142463749,455.89030086180003,21.604190615138823,15.982811862997917,15.929719498904836,0.0006146346585576461,0.0005634091153991014,0.0005255096949069192,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1
1280555492,434.39811228,66.7514136006,1280557813,1091.12757312,460.460639039,1071.51158339,457.387553969,1081.3195782550001,458.924096504,1074.39811228,445.2485863994,22.611532577582075,15.327304650984788,12.477442954732616,0.0004963074120689681,0.0006156767743480218,0.0007441769624585543,1,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1
1280570481,428.605892222,77.4333431592,1280573810,1087.32646392,442.076728685,1070.7607137,437.063604838,1079.04358881,439.5701667615,1068.605892222,434.56665684079996,20.170795319099415,11.574999852686508,3.2981820602828344,0.001173517656140663,0.0012181844401148504,0.0012713518076613785,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1280588491,422.648239763,86.694778139,1280589807,1083.73680512,424.379141905,1065.70628102,425.31103079400003,1074.72154307,424.8450863495,1062.648239763,425.305221861,21.108889428422568,12.082068425222644,3.0580467742035635,0.001128834690850561,0.0009593218895939806,0.0007997355031512808,1,1,1,-1,1,-1,1,-1,-1,-1,-1,-1
1280603507,415.403991235,96.3175164635,1280605806,1075.2632015,413.904721516,1057.81788012,417.47321125300004,1066.54054081,415.6889663845,1055.403991235,415.6824835365,19.93862257406521,11.136551461909269,3.005589011120455,0.0008421005459558629,0.0007674587172703549,0.0006950543555945771,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1
1280621506,408.212394901,104.551555907,1280621805,1068.52685819,404.91579596699995,1053.09291242,401.80694183400004,1060.809885305,403.3613689005,1048.212394901,407.448444093,20.47172990370532,13.243902299096922,7.45962458784405,0.0007021030839956802,0.0008497085338272437,0.0010227696582026662,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1
1280636515,399.790534563,112.911782418,1280637804,1064.35508673,386.88452308300003,1049.08799177,393.154839452,1056.72153925,390.0196812675,1039.7905345630002,399.088217582,27.428951540118717,19.206698586655005,11.029401005927499,0.0011567959847002566,0.0008721819442771013,0.0005959158798839111,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1
1280654529,391.622406216,119.960525739,1280657802,1065.69493962,368.90353016,1049.21120505,388.02301599599997,1057.453072335,378.463273078,1031.622406216,392.039474261,41.18506333625454,29.181099203294977,18.04155706743208,0.0009016323312205912,0.0005790348263750629,0.0002566907889136686,1,1,0,-1,1,-1,1,-1,1,-1,-1,-1
1280669540,382.244233759,126.996859008,1280669801,1066.83353393,358.598693475,1047.52217606,374.288756724,1057.177854995,366.4437250995,1022.244233759,385.003140992,51.820850421597065,39.557677016365425,27.454915720414224,0.000864034354582843,0.001001975036015996,0.0011532400445532908,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1
1280687547,373.339784159,132.792193323,1280689800,1061.99123349,344.19465644800005,1042.00794473,350.038295865,1051.99958911,347.1164761565,1013.339784159,379.207806677,59.94067242670354,50.243746013064495,40.89894609321883,0.0007598474359601381,0.0010004961618895068,0.0012435367433589809,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1
1280702569,363.262847198,138.453683291,1280705800,1052.5590889,334.190366186,1029.48625644,345.007448409,1041.02267267,339.5989072975,1003.262847198,373.546316709,63.07939669583742,50.77628408448081,38.757376022096174,0.0008593492614623235,0.0008315237708957238,0.0008434075781036059,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1
1280720572,353.848855323,142.983330713,1280721802,1018.68052934,329.665206117,1000.45152907,345.283371454,1009.566029205,337.4742887855,993.848855323,369.016669287,46.53116899570031,35.24132974986091,24.634624548371054,0.0021359477805115595,0.0019702731805035737,0.0018145255853896092,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1
1280735585,343.304364417,147.277962155,1280737803,1001.89551414,328.303259817,986.079456879,350.12554973199997,993.9874855095,339.2144047745,983.304364417,364.722037845,40.88958597339594,27.65444667926448,14.857947482933165,0.001052445417522576,0.0009796529904780066,0.0009478066823937092,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1
1280753593,333.569744881,150.57729454,1280753804,988.422699643,329.91708664099997,967.20527314,353.443121642,977.8139863915001,341.6801041415,973.5697448809999,361.42270546,34.83122567941226,20.193659718354404,10.206873098577896,0.0008480173441714438,0.0010224592987513248,0.001197646119669974,1,1,1,-1,1,-1,1,1,1,-1,-1,1
1280768603,322.800524349,153.542253357,1280769806,975.559196523,328.71538256900004,952.224854398,351.13612761400003,963.8920254605,339.92575509150004,962.8005243489999,358.45774664299995,32.36343517542546,18.564107453397,12.8627718676145,0.0008073686149073812,0.0008768942026083219,0.0009471951688615444,1,1,1,-1,1,-1,1,1,1,-1,-1,1
1280786622,312.926836463,155.670442546,1280789810,962.077442541,326.58764265599996,941.647444427,347.93515838400003,951.8624434840001,337.26140052000005,952.926836463,356.329557454,31.117761607259393,19.097841272599226,14.060249658103348,0.0006822947968615824,0.0006159320623518032,0.000552446760410371,1,1,1,-1,1,1,1,1,1,-1,1,1
1280804648,302.078173092,157.396016198,1280805822,954.607161642,322.87150605200003,928.583921143,341.681299568,941.5955413925,332.27640281000004,942.078173092,354.603983802,34.11635528951287,22.332796652270876,18.68396648131131,0.0005210808447620723,0.0007127858831542341,0.0009045287419493297,1,1,1,-1,1,1,1,1,1,-1,1,1
1280819705,292.209651922,158.43538394,1280821834,947.315303157,315.478105477,918.0579601889999,330.411981708,932.686631673,322.9450435925,932.209651922,353.56461606,40.972710279189826,30.62328734436178,27.135122191419644,0.000648532007139156,0.00080572549174985,0.0009630621123241395,1,1,1,-1,1,-1,1,1,1,-1,-1,1
