zeitstempel blick_l_x blick_l_y pupillengroesse_l pos_auge_l_x pos_auge_l_y entf_auge_l blick_r_x blick_r_y pupillengroesse_r pos_auge_r_x pos_auge_r_y entf_auge_r
1203357980 675.819773125 226.10238463 4.17160304969 8.86124471042 -11.4792560728 617.079235133 0.0 0.0 4.14552704591 64.9663127926 -11.9253798019 606.161156879
1203361981 676.580258753 226.618667864 4.1746288028 8.85408997416 -11.4598357013 616.965376567 0.0 0.0 4.14900031711 64.9804808844 -11.9082881304 606.378240601
1203365981 674.808322019 226.010956782 4.17666823156 8.84697705272 -11.4472827044 617.326379073 0.0 0.0 4.1555910822 65.003591717 -11.9070919583 606.70644073
1203369981 676.718950394 225.10138695 4.17545523227 8.83915398456 -11.4457120971 617.822776065 0.0 0.0 4.16126005405 65.0472737903 -11.8977228854 607.219143675
1203373982 677.48231803 223.945481276 4.18058649949 8.82245686512 -11.4398039693 618.958132167 0.0 0.0 4.16535708356 65.0866447349 -11.9003164799 607.688733291
1203377982 678.312988472 222.257869688 4.18716147644 8.81476120135 -11.4446245486 619.900894909 0.0 0.0 4.16997883518 65.0845154128 -11.8977957802 607.793415977
1203381982 677.362974449 221.405585807 4.19095053863 8.80530255318 -11.4464822544 620.548252877 0.0 0.0 4.17082465579 65.0098965764 -11.8947163775 607.26982583
1203385983 678.234454607 219.65647759 4.19540961318 8.7874083529 -11.440355834 620.812775002 0.0 0.0 4.17379907147 64.8282891964 -11.8855582061 605.874192086
1203389983 677.45724244 217.759197824 4.20125455096 8.75618074048 -11.4407466225 620.558122512 0.0 0.0 4.17229236452 64.7130461296 -11.8882973698 605.1122711
1203393983 675.491745009 215.894500375 4.20458323546 8.73147293974 -11.4440167328 620.325487739 0.0 0.0 4.16837792709 64.6355231365 -11.9025525612 604.781779371
1203397984 675.182846896 212.978288346 4.21158887489 8.69486715518 -11.4583239852 620.558276332 0.0 0.0 4.16491646282 64.5840772404 -11.9286646069 604.829859478
1203401984 676.266458533 212.097529077 4.21313061404 8.62132036504 -11.4617687759 620.152045223 0.0 0.0 4.16696665741 64.5514444859 -11.9498432555 604.782209978
1203405984 674.677229079 212.26742982 4.21545530424 8.58009565123 -11.4785118694 621.146377201 0.0 0.0 4.16474991252 64.4859478987 -11.9679401323 604.525784477
1203409984 676.162980218 211.279210995 4.2245062469 8.54078938567 -11.5026421611 621.477928682 0.0 0.0 4.16229032035 64.3662999552 -11.978068015 603.752205195
1203413985 674.998680063 210.880723409 4.2266272715 8.48682728203 -11.5111754649 620.86730181 0.0 0.0 4.1642529051 64.1197992379 -11.9788630992 602.060757117
1203417985 673.489566653 210.090119984 4.22779767909 8.43898789935 -11.5092421502 620.364025657 0.0 0.0 4.15815238562 64.0654496645 -12.0130935005 602.06585075
1203421985 673.291490289 210.036671671 4.2306773887 8.36254299904 -11.5170125487 620.376207681 0.0 0.0 4.1560813364 64.0968739688 -12.0613990445 602.900222891
1203425986 673.13292666 210.409824257 4.23090280548 8.3034528358 -11.5311204583 621.263365287 0.0 0.0 4.16063639191 64.0790453575 -12.0969104141 603.191016532
1203429984 673.919619997 210.767999551 4.23370100187 8.23663148818 -11.5273812451 620.805076943 0.0 0.0 4.16419572909 64.0153987823 -12.1200391697 603.07199504
1203433983 673.413401367 211.226658758 4.23182245964 8.17434633873 -11.5106943579 620.036104808 0.0 0.0 4.16722937256 63.9328697425 -12.1421031454 603.06690697
1203437981 674.413567395 212.372386498 4.23621816872 8.07977127602 -11.5160947823 620.17928139 0.0 0.0 4.16876429439 63.8673808614 -12.1525208505 603.130004228
1203441980 674.696143301 213.965561889 4.24006365146 7.9971052809 -11.4976692967 620.380133949 0.0 0.0 4.16951296303 63.7199661367 -12.1367700746 602.390903738
1203445979 674.068592639 214.267443648 4.24020571686 7.9314076132 -11.4803327709 619.817790653 0.0 0.0 4.16966629978 63.6691975911 -12.1460852738 602.493732511
1203449977 675.187692039 214.237032425 4.24340936437 7.8286944445 -11.4657541119 619.796462125 0.0 0.0 4.16973836677 63.6019976902 -12.1564333234 602.84100326
1203453976 675.213990889 214.649899224 4.24422188816 7.73370007747 -11.4682278377 620.160865062 0.0 0.0 4.16811654368 63.4918581738 -12.1445687015 602.411272282
1203457974 673.945451052 214.691013031 4.24829026769 7.65904915352 -11.4596112837 619.652051752 0.0 0.0 4.17130005357 63.4338342382 -12.156370384 602.617419744
1203461973 675.846209227 216.336453253 4.25078783671 7.53702036199 -11.4646572178 620.050914414 0.0 0.0 4.17464104297 63.3679813304 -12.1769800075 603.066434143
1203465972 674.931918324 216.570226782 4.25357356085 7.43570123104 -11.4716433495 619.698529043 0.0 0.0 4.17655513863 63.2137759972 -12.1695551214 602.379288031
1203469970 674.473817245 216.826991416 4.25579874239 7.31852034668 -11.4701644909 619.042296781 0.0 0.0 4.17834595939 63.0852787269 -12.1839057691 602.112118752
1203473969 674.283925186 217.98153696 4.2547884205 7.20192937413 -11.4920497683 619.251238176 0.0 0.0 4.17914310961 63.1166386548 -12.2171685177 603.279598565
1203477967 673.093362163 218.539510968 4.25575952186 7.10285286587 -11.5014546757 618.846547596 0.0 0.0 4.18327124356 62.8225063292 -12.2178255036 601.595432381
1203481966 675.332042754 218.723828909 4.2557279056 6.9654006881 -11.550716287 619.332982308 0.0 0.0 4.18328267945 62.8282879367 -12.2585457218 602.624287464
1203485965 673.904508984 218.837996919 4.25972565092 6.86593866495 -11.5930937904 619.984426681 0.0 0.0 4.18852818921 62.6697739677 -12.310835448 602.094790594
1203489963 674.708919916 218.979589647 4.26167777139 6.71134389744 -11.638516502 619.100116508 0.0 0.0 4.19043792039 62.5429925873 -12.3519259449 601.935311357
1203493962 672.376591337 218.265010439 4.26400302087 6.61761632591 -11.6810891591 619.212835509 0.0 0.0 4.19186769945 62.4210908248 -12.3643675731 601.773615337
1203497960 673.649828556 219.236454145 4.27039752733 6.46915772645 -11.7149895869 619.952527215 0.0 0.0 4.18927863641 62.2888972486 -12.3846997242 601.595698641
1203501959 672.792854661 219.437486939 4.27038786882 6.35524944073 -11.7552049967 619.468267869 0.0 0.0 4.19147609309 62.1940204261 -12.4059325727 601.81439939
1203505958 673.152180052 218.832400802 4.27195139117 6.21322387539 -11.7840245217 620.099696606 0.0 0.0 4.19039473327 62.0342182782 -12.4105655863 601.35662876
1203509956 672.95040443 220.402885283 4.27109734523 6.099789436 -11.7876736332 619.487754317 0.0 0.0 4.19183126369 61.9714709698 -12.426204066 601.887235679
1203513955 673.580818046 220.658829563 4.27550434917 5.94855246381 -11.8161084834 619.29704165 0.0 0.0 4.1936253056 61.7713044352 -12.4170358355 601.052412669
1203517953 672.082929569 221.860000095 4.27569817489 5.83553886837 -11.8312437617 619.769331778 0.0 0.0 4.19242488037 61.7047916252 -12.4249476199 601.617625393
1203521952 673.858947931 220.614631469 4.27655964505 5.6743183826 -11.843683238 618.822208016 0.0 0.0 4.19061596941 61.5307430731 -12.4108726497 600.983198121
1203525950 672.016325222 222.176557413 4.27812712471 5.55613159833 -11.8586207989 619.532549308 0.0 0.0 4.18656345177 61.4568123455 -12.4123888113 601.559404592
1203529949 673.175045478 221.975069713 4.28064813929 5.40345994062 -11.8715293388 618.723297842 0.0 0.0 4.18550680903 61.3054255466 -12.3969583488 601.146436986
1203533948 673.067515186 222.015332782 4.28166137643 5.27470784306 -11.8945941885 619.168001315 0.0 0.0 4.18386301381 61.2198193263 -12.4031546444 601.612309422
1203537946 675.357247353 223.663920699 4.28105646523 5.12662431026 -11.9140439099 618.994088958 0.0 0.0 4.18624339151 61.0686352017 -12.3875642999 601.292532414
1203541945 675.036985773 221.510688837 4.28401528178 4.97792788296 -11.9315675106 618.362017063 0.0 0.0 4.18563226305 60.9761111488 -12.3998573493 601.694021238
1203545943 676.563876405 223.19988683 4.28506858757 4.83697390896 -11.9518047495 618.225756041 0.0 0.0 4.18437840642 60.8064495279 -12.3924684319 601.183373014
1203549942 676.437188963 222.538171559 4.28201511669 4.70219220105 -11.981374078 618.16748858 0.0 0.0 4.17733179832 60.6995686155 -12.4054526484 601.471473751
1203553941 676.925154347 223.905846501 4.27638220144 4.55023759998 -12.0172141445 617.812835613 0.0 0.0 4.17577765143 60.534680552 -12.4035103803 601.017732989
1203557939 676.932800652 224.967837279 4.27164740051 4.39687213248 -12.0519634525 617.051463112 0.0 0.0 4.17404359248 60.4556677674 -12.430638818 601.581362119
1203561938 673.369413788 224.853194372 4.27100871499 4.28884372586 -12.1402418869 618.068198449 0.0 0.0 4.16979774401 60.263664347 -12.4332044338 600.867546297
1203565936 675.342002473 224.947711928 4.27206724124 4.11185713872 -12.2029452157 618.70166173 0.0 0.0 4.1656784148 60.1970549977 -12.464442143 601.565269833
1203569935 676.268294666 224.845917417 4.26241921234 3.97581449518 -12.2396759739 617.532054821 0.0 0.0 4.16114761313 59.9725414678 -12.4951335762 600.556489629
1203573934 676.241487663 225.606982696 4.25766772606 3.82542781881 -12.3007458743 617.772441255 0.0 0.0 4.1573448557 59.8853138915 -12.5219687717 600.895947082
1203577932 675.714734513 226.985260808 4.25677160275 3.69160617338 -12.3511816091 617.814262348 0.0 0.0 4.15305475569 59.7145622494 -12.5489836554 600.433018754
1203581931 677.063940489 226.626554335 4.25303213975 3.55082837316 -12.4178787907 617.860615559 0.0 0.0 4.14713698363 59.5464106027 -12.5638660048 600.071928046
1203585929 676.469410114 227.23791935 4.24630136953 3.41945900739 -12.4674613536 617.489162251 0.0 0.0 4.13997385506 59.3760619405 -12.5616233988 599.454243239
1203589928 675.716456099 228.320229016 4.23902398505 3.27047660245 -12.4908337886 617.464170689 0.0 0.0 4.1325570661 59.2187264788 -12.5650654737 599.133300808
1203593927 675.291306418 230.172541297 4.2342002871 3.15859619787 -12.5078515699 617.050138689 0.0 0.0 4.12496767424 59.0370765369 -12.549404323 598.475873152
1203597925 674.797999634 229.313082343 4.23498602834 3.01622564179 -12.543134328 617.309585518 0.0 0.0 4.11850277207 58.8840168992 -12.5453326802 597.975499528
1203601924 675.235576734 231.325471699 4.23177565288 2.8854865918 -12.5507354339 616.648454587 0.0 0.0 4.10961379735 58.7979868346 -12.5401948865 598.299459004
1203605922 675.919129436 231.301948987 4.22390100805 2.77269270902 -12.578209678 616.324816977 0.0 0.0 4.10440343245 58.6643589019 -12.5236036979 598.005549009
1203609921 677.133384441 232.014207256 4.217564282 2.63570697719 -12.6008197887 616.356826453 0.0 0.0 4.09821121958 58.5700645971 -12.5256218374 598.361415423
1203613920 677.890748635 231.422337137 4.21289228781 2.5073167815 -12.636736214 616.493605611 0.0 0.0 4.08911270729 58.4478431573 -12.5144454923 598.092241586
1203617918 677.903421856 231.244565911 4.2076273625 2.37997825775 -12.6715121796 615.853553364 0.0 0.0 4.08307976978 58.3516906727 -12.5208982389 598.529159235
1203621917 678.310532309 232.535279667 4.19896368584 2.24423598791 -12.6938604761 616.070228995 0.0 0.0 4.0786689063 58.2428670844 -12.5231590871 598.287839742
1203625915 676.757378834 235.001453291 4.19330470042 2.13258708839 -12.7110895636 614.873336354 0.0 0.0 4.06677861676 58.0950757552 -12.5543212114 598.143471491
1203629914 677.767599144 235.492833057 4.19035419194 1.98759258403 -12.783792389 615.125556711 0.0 0.0 4.06156776107 57.938948646 -12.5519430522 597.593126605
1203633913 678.784074289 235.948214997 4.18277517871 1.86537499246 -12.8861710159 615.014322201 0.0 0.0 4.06057604459 57.7869951077 -12.5915036113 597.249839864
1203637912 677.700907678 246.121051997 4.17751726345 1.73035338749 -12.9925674534 615.165627161 0.0 0.0 4.04915847657 57.5471641896 -12.663400832 596.390546448
1203641911 671.023903308 281.045952653 4.16767442659 1.61525610541 -13.1305063087 615.108201294 0.0 0.0 4.04217457051 57.4126037894 -12.81361344 596.680474
1203645910 663.408479442 326.431029134 4.15492225306 1.4992259501 -13.2974169323 614.89346905 0.0 0.0 4.03122618434 57.0694225142 -12.8913073679 594.670482257
1203649910 642.591929563 372.946697758 4.14992550871 1.4160360324 -13.4567155761 615.059473369 0.0 0.0 4.01769466212 56.8732260126 -13.0306882009 594.117298143
1203653911 646.615233246 400.003603489 4.13485742655 1.28686414725 -13.5695496782 614.040389523 0.0 0.0 4.00811836628 56.6721828814 -13.1282786313 593.655591381
1203657911 633.134166364 427.554449412 4.12814226422 1.18926157855 -13.6965383622 613.945516481 0.0 0.0 3.99854879502 56.5802236836 -13.2057720981 594.109980645
1203661911 633.449677388 440.191692495 4.11648011691 1.05211860297 -13.7848290382 613.415680359 0.0 0.0 3.99244234011 56.5749503147 -13.3360918472 595.099362349
1203665911 634.481540998 453.545987841 4.10836798094 0.920849971587 -13.8190936207 612.597873739 0.0 0.0 3.98312741657 56.308099824 -13.3223937557 593.761261576
1203669912 633.159705356 452.03807782 4.09806846026 0.764659120638 -13.8295959934 610.770000711 0.0 0.0 3.97142023042 56.2002896937 -13.3130615089 593.138427102
1203673912 627.640685167 448.485019208 4.09363981444 0.669721930235 -13.8897102702 610.967916981 0.0 0.0 3.96037155403 55.982300136 -13.2961822855 592.191223717
1203677912 630.300303319 449.268585617 4.07922473765 0.504379662664 -13.9051277899 610.317922696 0.0 0.0 3.94783910031 55.7885887352 -13.2824384856 590.903147237
1203681912 627.162344659 453.377865899 4.07490426195 0.389724928011 -13.9080088468 609.311119084 0.0 0.0 3.93947401388 55.5699417341 -13.2574276398 589.370827312
1203685913 624.930455839 455.565552167 4.06007704939 0.270974298897 -13.9477456234 609.039363085 0.0 0.0 3.93148938431 55.3711461159 -13.2424797223 588.590654822
1203689913 623.662912011 460.068016142 4.04626004324 0.14312694383 -13.9396848216 608.251761281 0.0 0.0 3.9207094396 55.2262605692 -13.2323022133 587.830035256
1203693913 624.796796389 466.458278945 4.04014594877 0.0329650302174 -13.9621800502 607.680399939 0.0 0.0 3.91039721405 54.9671272683 -13.2062804542 586.412415058
1203697914 624.256444523 466.882326888 4.03093053983 -0.0766199440266 -13.9788875499 607.230790186 0.0 0.0 3.89907461302 54.773007728 -13.1916231076 585.320606954
1203701914 626.11359846 470.349506427 4.02494595024 -0.211382341363 -14.0059877997 606.89766945 0.0 0.0 3.90011022489 54.7052657857 -13.2087017942 585.346122369
1203705914 625.690328748 471.092737748 4.02397084267 -0.326418604505 -14.0597801629 606.79652672 0.0 0.0 3.88522867272 54.4187486198 -13.2324877869 583.724265449
1203709914 623.921617265 468.85645553 4.01479643267 -0.440245329749 -14.0980919107 606.121403816 0.0 0.0 3.87715097034 54.3571378897 -13.277501055 583.782518962
1203713915 624.554407362 473.346402425 3.99903083691 -0.585948060992 -14.1386682334 606.247884811 0.0 0.0 3.8648794013 54.1536673022 -13.3072672887 583.013819205
1203717915 625.885748875 475.408902554 3.98967011749 -0.701389139856 -14.1834475541 606.020587053 0.0 0.0 3.85580668295 54.0230939398 -13.3156566319 582.580841201
1203721915 625.000122899 477.493691255 3.98552951852 -0.813629305198 -14.2472577268 605.219716488 0.0 0.0 3.84385630905 53.9637876065 -13.3342512433 582.728216657
1203725915 625.07123025 477.852445958 3.98052189066 -0.935658786411 -14.3124283621 604.432403026 0.0 0.0 3.834445792 53.7425271546 -13.3370040973 582.017380948
1203729916 626.099117357 478.9792463 3.97278085994 -1.07407159677 -14.3748877164 605.055400257 0.0 0.0 3.83733167676 53.7053255297 -13.3718041375 582.176930163
1203733916 627.093585704 480.157325542 3.96513579123 -1.18964209803 -14.4277598887 605.157426625 0.0 0.0 3.82813851957 53.4427372856 -13.466571182 580.938540972
1203737916 626.289970232 479.751078287 3.96123908557 -1.3094938873 -14.4805622037 604.295850953 0.0 0.0 3.82257629025 53.3507492713 -13.4992464889 580.765108686
1203741916 626.266556239 478.450063539 3.9614226447 -1.41302408069 -14.5438177766 603.705083491 0.0 0.0 3.81283240819 53.1975223463 -13.50037307 580.293816215
1203745917 625.548365456 478.306393279 3.95847588624 -1.5475215488 -14.5942270704 604.631764138 0.0 0.0 3.80662591638 53.0423732109 -13.5052521705 579.821121773
1203749917 625.16456577 480.89306386 3.94654205836 -1.66147455384 -14.6007652967 603.844639129 0.0 0.0 3.79564219276 53.0268093113 -13.5235214929 580.293899632
1203753917 626.048508252 481.80008815 3.94436871717 -1.76900088395 -14.6402052435 603.643636441 0.0 0.0 3.78888574573 52.841651093 -13.507819633 579.814525353
1203757917 624.888351857 482.182140755 3.94109599944 -1.87452293012 -14.6761734391 604.143934413 0.0 0.0 3.78016039702 52.7536787903 -13.5145457495 579.600381811
1203761918 625.600399491 482.516423607 3.9338371034 -2.01425044292 -14.675553636 603.319392524 0.0 0.0 3.77675383584 52.6933718994 -13.5073698624 579.783834906
1203765918 626.001015245 482.492955587 3.92992779567 -2.09194001118 -14.7039064267 603.144407878 0.0 0.0 3.76930941168 52.5196604945 -13.5071726365 579.350997779
1203769918 627.761739015 481.856804682 3.9303961499 -2.22283195084 -14.7283354509 603.380900479 0.0 0.0 3.76369974158 52.4799415477 -13.5105954983 579.541671351
1203773918 628.011232195 482.652804974 3.92446857194 -2.33675966727 -14.7408247578 603.295770158 0.0 0.0 3.75639113117 52.3330610971 -13.4884384283 579.217761771
1203777919 625.854720025 481.701080636 3.92215261994 -2.42330058362 -14.7705278375 602.746258542 0.0 0.0 3.75339539477 52.2237618033 -13.4969826208 578.989860613
1203781919 626.202382227 480.8248463 3.91722267438 -2.54948780274 -14.7900411618 603.500030636 0.0 0.0 3.75056997585 52.1862174445 -13.499603933 579.297653309
1203785919 627.017817447 482.617762986 3.9084058333 -2.66176687537 -14.8046310791 602.801294869 0.0 0.0 3.74496877311 52.035472184 -13.4974815958 579.187495371
1203789919 627.583136599 483.529324749 3.90987281812 -2.74857001548 -14.8390374844 603.102811324 0.0 0.0 3.73841297435 51.9733662525 -13.5029647223 579.150613682
1203793920 626.285530104 482.541435311 3.90180877751 -2.87720317628 -14.8905070953 603.527114585 0.0 0.0 3.73273977752 51.8139047204 -13.4850270868 578.555707587
1203797920 628.940696349 482.350449097 3.89595562032 -2.98823673839 -14.9205725155 603.423862104 0.0 0.0 3.72944171844 51.6779195638 -13.5031790496 578.234354964
1203801920 629.03721977 482.77119499 3.89184607189 -3.08945196743 -14.9708190239 602.933330879 0.0 0.0 3.73154485504 51.6673714299 -13.528165514 578.679893576
1203805920 628.039801837 481.202118678 3.88661912621 -3.18946645502 -15.018362237 601.887941869 0.0 0.0 3.72358353699 51.4090899998 -13.5427824064 577.449994987
